s,r,a,sp
5,-2,1,9
18,-7,1,19
18,-12,1,29
28,-12,1,28
29,-12,1,39
39,-12,1,39
39,41,1,49
9,-2,1,8
19,-7,1,17
19,-12,1,28
28,-12,1,29
29,-17,1,39
39,-17,1,39
39,-22,1,49
39,-22,1,39
9,-2,1,8
17,-7,1,17
18,-12,1,27
26,-12,1,26
26,-17,1,36
33,-17,1,33
33,-22,1,43
33,23,1,33
9,-2,1,7
19,-7,1,19
19,-12,1,28
28,-12,1,29
29,-17,1,39
39,-17,1,39
39,-17,1,49
39,-17,1,39
8,-2,1,7
18,-7,1,17
17,-12,1,28
28,-12,1,28
28,-17,1,38
38,-17,1,38
38,-22,1,48
38,-22,1,38
9,-2,1,8
17,-7,1,18
17,-12,1,27
28,-12,1,28
27,-17,1,37
37,-17,1,37
37,52,1,47
8,-2,1,7
18,-2,1,19
19,-7,1,28
28,-7,1,29
25,-12,1,39
39,-12,1,39
39,-17,1,49
39,-17,1,39
9,-2,1,8
18,-7,1,18
17,-12,1,28
29,-12,1,25
29,-17,1,35
38,-17,1,38
38,-17,1,48
38,58,1,38
9,-2,1,8
16,-7,1,17
17,-12,1,27
28,-12,1,28
26,-17,1,38
38,-17,1,38
38,-22,1,48
38,-22,1,38
9,-2,1,4
17,-6,1,18
14,-11,1,28
28,-11,1,28
28,-16,1,37
38,-16,1,38
38,-21,1,48
38,54,1,38
9,-2,1,9
18,-7,1,18
17,-12,1,28
28,-12,1,28
28,-17,1,38
37,-17,1,37
37,58,1,47
9,-2,1,8
18,-6,1,16
15,-11,1,27
28,-11,1,27
28,-16,1,38
37,-16,1,37
37,-21,1,47
37,53,1,37
7,-2,1,7
16,-7,1,19
18,-12,1,29
27,-12,1,27
28,-17,1,37
38,-17,1,38
38,-22,1,48
38,-22,1,38
7,-2,1,8
17,-2,1,17
18,-7,1,27
28,-7,1,27
28,-12,1,37
37,-12,1,37
37,-12,1,47
37,-12,1,37
6,-2,1,7
13,-2,1,16
16,-7,1,26
26,-7,1,26
23,-12,1,36
36,-12,1,36
36,-17,1,46
36,-17,1,36
7,-2,1,7
18,-7,1,19
19,-12,1,29
29,-12,1,29
29,-12,1,39
38,-12,1,38
38,-17,1,48
38,-17,1,38
7,-2,1,8
14,-6,1,14
14,-11,1,24
24,-11,1,24
24,-11,1,34
34,-11,1,34
34,-11,1,44
34,35,1,34
8,-2,1,8
18,-5,1,17
18,-10,1,27
27,-10,1,28
28,-15,1,38
38,-15,1,38
38,-20,1,48
38,-20,1,38
7,-2,1,8
19,-7,1,18
19,-12,1,28
25,-12,1,26
28,-17,1,35
37,-17,1,37
37,-22,1,47
37,-22,1,37
4,-2,1,7
17,-7,1,17
17,-12,1,24
27,-12,1,27
27,-17,1,37
33,-17,1,33
33,-22,1,43
33,-22,1,33
8,-2,1,8
18,-7,1,14
18,-12,1,29
24,-12,1,24
29,-17,1,39
34,-17,1,34
34,-22,1,44
34,-22,1,34
5,-2,1,8
18,-7,1,18
17,37,1,26
8,-2,1,7
18,-7,1,18
18,-7,1,27
28,-7,1,27
27,-12,1,38
38,-12,1,38
38,-17,1,48
38,21,1,38
9,-2,1,8
18,-7,1,18
17,-7,1,27
26,-7,1,27
26,-12,1,38
38,-12,1,38
38,-17,1,48
38,-17,1,38
4,-2,1,5
16,-6,1,18
18,-11,1,28
28,-11,1,28
28,-16,1,38
38,-16,1,38
38,-21,1,48
38,69,1,38
8,-2,1,8
19,-7,1,18
18,-12,1,29
29,-12,1,29
28,-17,1,38
39,-17,1,39
39,-22,1,49
39,-22,1,39
8,-2,1,8
17,-7,1,18
18,-12,1,28
28,-12,1,28
28,-17,1,38
38,-17,1,38
38,-22,1,48
38,-22,1,38
6,-2,1,8
18,-6,1,18
18,-11,1,26
27,-11,1,28
28,-16,1,38
38,-16,1,38
38,-16,1,48
38,50,1,38
5,-2,1,7
17,-6,1,19
18,-11,1,28
28,-11,1,29
25,-16,1,39
38,-16,1,38
38,-21,1,48
38,-21,1,38
7,-2,1,8
18,-7,1,18
18,-7,1,29
28,-7,1,28
27,-12,1,38
38,-12,1,38
38,-17,1,48
38,23,1,38
9,-2,1,6
19,-7,1,18
19,-12,1,28
28,-12,1,28
28,-17,1,39
39,-17,1,39
39,-22,1,49
39,67,1,39
7,-2,1,9
19,-7,1,18
14,-12,1,28
28,-12,1,27
28,-17,1,38
38,-17,1,38
38,-22,1,48
38,73,1,38
3,-2,1,8
16,-6,1,18
18,-11,1,28
28,-11,1,28
28,-16,1,38
38,-16,1,38
38,-21,1,48
38,-21,1,38
9,-2,1,8
14,-6,1,18
19,-11,1,28
28,-11,1,28
28,-16,1,38
38,-16,1,38
38,-21,1,48
38,-21,1,38
8,-2,1,6
18,-7,1,17
16,21,1,27
8,-2,1,7
18,-6,1,17
14,-11,1,28
24,-11,1,29
29,-16,1,39
39,-16,1,39
39,-16,1,49
39,-16,1,39
9,-2,1,9
